word,source_grade_hint,normalized_band,source_list,rank,count,academic,pos,notes,band,preferred_band,beginner_score,intermediate_score,advanced_score,source_tags,source_files
similarity,6,6-8,intermediate_6_to_8,71,88,true,n,tier2_nawl_academic+nawl_rank_71+grade_estimate_6,intermediate,intermediate,6.195,30.593,13.494,intermediate_seed,intermediate_6_to_8.csv
effective,6,6-8,intermediate_6_to_8,1031,88,false,adj,tier1_ngsl_general+ngsl_rank_1031+grade_estimate_6,intermediate,intermediate,4.195,30.593,11.494,intermediate_seed,intermediate_6_to_8.csv
mutation,6,6-8,intermediate_6_to_8,74,87,true,n,tier2_nawl_academic+nawl_rank_74+grade_estimate_6,intermediate,intermediate,6.192,30.589,13.491,intermediate_seed,intermediate_6_to_8.csv
administration,6,6-8,intermediate_6_to_8,1046,86,false,n,tier1_ngsl_general+ngsl_rank_1046+grade_estimate_6,intermediate,intermediate,4.189,30.586,12.988,intermediate_seed,intermediate_6_to_8.csv
equipment,6,6-8,intermediate_6_to_8,1055,86,false,n,tier1_ngsl_general+ngsl_rank_1055+grade_estimate_6,intermediate,intermediate,4.189,30.586,11.488,intermediate_seed,intermediate_6_to_8.csv
connection,6,6-8,intermediate_6_to_8,1066,85,false,n,tier1_ngsl_general+ngsl_rank_1066+grade_estimate_6,intermediate,intermediate,4.187,30.582,11.484,intermediate_seed,intermediate_6_to_8.csv
integration,6,6-8,intermediate_6_to_8,80,84,true,n,tier2_nawl_academic+nawl_rank_80+grade_estimate_6,intermediate,intermediate,6.184,30.579,14.981,intermediate_seed,intermediate_6_to_8.csv
coordinate,6,6-8,intermediate_6_to_8,83,83,true,v,tier2_nawl_academic+nawl_rank_83+grade_estimate_6,intermediate,intermediate,6.181,30.575,13.478,intermediate_seed,intermediate_6_to_8.csv
calculation,6,6-8,intermediate_6_to_8,84,83,true,n,tier2_nawl_academic+nawl_rank_84+grade_estimate_6,intermediate,intermediate,6.181,30.575,14.978,intermediate_seed,intermediate_6_to_8.csv
relative,6,6-8,intermediate_6_to_8,1088,83,false,adj,tier1_ngsl_general+ngsl_rank_1088+grade_estimate_6,intermediate,intermediate,4.181,30.575,11.478,intermediate_seed,intermediate_6_to_8.csv
alternative,6,6-8,intermediate_6_to_8,1090,83,false,adj,tier1_ngsl_general+ngsl_rank_1090+grade_estimate_6,intermediate,intermediate,4.181,30.575,12.978,intermediate_seed,intermediate_6_to_8.csv
orientation,6,6-8,intermediate_6_to_8,88,82,true,n,tier2_nawl_academic+nawl_rank_88+grade_estimate_6,intermediate,intermediate,6.178,30.571,14.975,intermediate_seed,intermediate_6_to_8.csv
proposition,6,6-8,intermediate_6_to_8,89,82,true,n,tier2_nawl_academic+nawl_rank_89+grade_estimate_6,intermediate,intermediate,6.178,30.571,14.975,intermediate_seed,intermediate_6_to_8.csv
inequality,6,6-8,intermediate_6_to_8,90,81,true,n,tier2_nawl_academic+nawl_rank_90+grade_estimate_6,intermediate,intermediate,6.175,30.567,13.471,intermediate_seed,intermediate_6_to_8.csv
prevalence,6,6-8,intermediate_6_to_8,92,81,true,n,tier2_nawl_academic+nawl_rank_92+grade_estimate_6,intermediate,intermediate,6.175,30.567,13.471,intermediate_seed,intermediate_6_to_8.csv
correspondence,6,6-8,intermediate_6_to_8,100,78,true,n,tier2_nawl_academic+nawl_rank_100+grade_estimate_6,intermediate,intermediate,6.167,30.556,14.961,intermediate_seed,intermediate_6_to_8.csv
institution,6,6-8,intermediate_6_to_8,1137,78,false,n,tier1_ngsl_general+ngsl_rank_1137+grade_estimate_6,intermediate,intermediate,4.167,30.556,12.961,intermediate_seed,intermediate_6_to_8.csv
importance,6,6-8,intermediate_6_to_8,1144,78,false,n,tier1_ngsl_general+ngsl_rank_1144+grade_estimate_6,intermediate,intermediate,4.167,30.556,11.461,intermediate_seed,intermediate_6_to_8.csv
configuration,6,6-8,intermediate_6_to_8,106,75,true,n,tier2_nawl_academic+nawl_rank_106+grade_estimate_6,intermediate,intermediate,6.158,30.544,14.951,intermediate_seed,intermediate_6_to_8.csv
intermediate,6,6-8,intermediate_6_to_8,109,74,true,v,tier2_nawl_academic+nawl_rank_109+grade_estimate_6,intermediate,intermediate,6.155,30.539,14.947,intermediate_seed,intermediate_6_to_8.csv
transmission,6,6-8,intermediate_6_to_8,110,74,true,n,tier2_nawl_academic+nawl_rank_110+grade_estimate_6,intermediate,intermediate,6.155,30.539,14.947,intermediate_seed,intermediate_6_to_8.csv
occurrence,6,6-8,intermediate_6_to_8,112,74,true,n,tier2_nawl_academic+nawl_rank_112+grade_estimate_6,intermediate,intermediate,6.155,30.539,13.447,intermediate_seed,intermediate_6_to_8.csv
artist,6,6-8,intermediate_6_to_8,1183,74,false,n,tier1_ngsl_general+ngsl_rank_1183+grade_estimate_6,intermediate,intermediate,4.955,30.539,10.747,intermediate_seed,intermediate_6_to_8.csv
presence,6,6-8,intermediate_6_to_8,1186,74,false,n,tier1_ngsl_general+ngsl_rank_1186+grade_estimate_6,intermediate,intermediate,4.155,30.539,11.447,intermediate_seed,intermediate_6_to_8.csv
introduction,7,6-8,intermediate_6_to_8,1203,73,false,n,tier1_ngsl_general+ngsl_rank_1203+grade_estimate_7,intermediate,intermediate,4.151,30.535,12.943,intermediate_seed,intermediate_6_to_8.csv
requirement,7,6-8,intermediate_6_to_8,1204,73,false,n,tier1_ngsl_general+ngsl_rank_1204+grade_estimate_7,intermediate,intermediate,4.151,30.535,12.943,intermediate_seed,intermediate_6_to_8.csv
approximation,6,6-8,intermediate_6_to_8,118,72,true,n,tier2_nawl_academic+nawl_rank_118+grade_estimate_6,intermediate,intermediate,6.148,30.531,14.94,intermediate_seed,intermediate_6_to_8.csv
classification,6,6-8,intermediate_6_to_8,121,71,true,n,tier2_nawl_academic+nawl_rank_121+grade_estimate_6,intermediate,intermediate,6.145,30.527,14.936,intermediate_seed,intermediate_6_to_8.csv
comparative,6,6-8,intermediate_6_to_8,124,71,true,adj,tier2_nawl_academic+nawl_rank_124+grade_estimate_6,intermediate,intermediate,6.145,30.527,14.936,intermediate_seed,intermediate_6_to_8.csv
improvement,7,6-8,intermediate_6_to_8,1226,71,false,n,tier1_ngsl_general+ngsl_rank_1226+grade_estimate_7,intermediate,intermediate,4.145,30.527,12.936,intermediate_seed,intermediate_6_to_8.csv
consequence,7,6-8,intermediate_6_to_8,1228,71,false,n,tier1_ngsl_general+ngsl_rank_1228+grade_estimate_7,intermediate,intermediate,4.145,30.527,12.936,intermediate_seed,intermediate_6_to_8.csv
circumstance,7,6-8,intermediate_6_to_8,1229,71,false,n,tier1_ngsl_general+ngsl_rank_1229+grade_estimate_7,intermediate,intermediate,4.145,30.527,12.936,intermediate_seed,intermediate_6_to_8.csv
activate,6,6-8,intermediate_6_to_8,125,70,true,v,tier2_nawl_academic+nawl_rank_125+grade_estimate_6,intermediate,intermediate,6.142,30.522,13.432,intermediate_seed,intermediate_6_to_8.csv
utterance,6,6-8,intermediate_6_to_8,128,70,true,n,tier2_nawl_academic+nawl_rank_128+grade_estimate_6,intermediate,intermediate,6.142,30.522,13.432,intermediate_seed,intermediate_6_to_8.csv
facilitate,6,6-8,intermediate_6_to_8,130,70,true,v,tier2_nawl_academic+nawl_rank_130+grade_estimate_6,intermediate,intermediate,6.142,30.522,13.432,intermediate_seed,intermediate_6_to_8.csv
incidence,6,6-8,intermediate_6_to_8,131,70,true,n,tier2_nawl_academic+nawl_rank_131+grade_estimate_6,intermediate,intermediate,6.142,30.522,13.432,intermediate_seed,intermediate_6_to_8.csv
induction,6,6-8,intermediate_6_to_8,132,69,true,n,tier2_nawl_academic+nawl_rank_132+grade_estimate_6,intermediate,intermediate,6.139,30.518,13.428,intermediate_seed,intermediate_6_to_8.csv
adaptation,6,6-8,intermediate_6_to_8,138,68,true,n,tier2_nawl_academic+nawl_rank_138+grade_estimate_6,intermediate,intermediate,6.135,30.514,13.424,intermediate_seed,intermediate_6_to_8.csv
demonstrate,7,6-8,intermediate_6_to_8,1272,68,false,v,tier1_ngsl_general+ngsl_rank_1272+grade_estimate_7,intermediate,intermediate,4.135,30.514,12.924,intermediate_seed,intermediate_6_to_8.csv
contribution,7,6-8,intermediate_6_to_8,1273,68,false,n,tier1_ngsl_general+ngsl_rank_1273+grade_estimate_7,intermediate,intermediate,4.135,30.514,12.924,intermediate_seed,intermediate_6_to_8.csv
appreciate,7,6-8,intermediate_6_to_8,1274,68,false,v,tier1_ngsl_general+ngsl_rank_1274+grade_estimate_7,intermediate,intermediate,4.135,30.514,11.424,intermediate_seed,intermediate_6_to_8.csv
projection,6,6-8,intermediate_6_to_8,144,67,true,n,tier2_nawl_academic+nawl_rank_144+grade_estimate_6,intermediate,intermediate,6.132,30.509,13.421,intermediate_seed,intermediate_6_to_8.csv
dependence,6,6-8,intermediate_6_to_8,148,67,true,n,tier2_nawl_academic+nawl_rank_148+grade_estimate_6,intermediate,intermediate,6.132,30.509,13.421,intermediate_seed,intermediate_6_to_8.csv
organism,6,6-8,intermediate_6_to_8,149,66,true,n,tier2_nawl_academic+nawl_rank_149+grade_estimate_6,intermediate,intermediate,6.128,30.505,13.417,intermediate_seed,intermediate_6_to_8.csv
emergence,6,6-8,intermediate_6_to_8,150,66,true,n,tier2_nawl_academic+nawl_rank_150+grade_estimate_6,intermediate,intermediate,6.128,30.505,13.417,intermediate_seed,intermediate_6_to_8.csv
investigation,7,6-8,intermediate_6_to_8,1318,66,false,n,tier1_ngsl_general+ngsl_rank_1318+grade_estimate_7,intermediate,intermediate,4.128,30.505,12.917,intermediate_seed,intermediate_6_to_8.csv
substitution,6,6-8,intermediate_6_to_8,152,65,true,n,tier2_nawl_academic+nawl_rank_152+grade_estimate_6,intermediate,intermediate,6.125,30.5,14.913,intermediate_seed,intermediate_6_to_8.csv
detection,6,6-8,intermediate_6_to_8,156,65,true,n,tier2_nawl_academic+nawl_rank_156+grade_estimate_6,intermediate,intermediate,6.125,30.5,13.413,intermediate_seed,intermediate_6_to_8.csv
conference,6,6-8,intermediate_6_to_8,162,64,true,n,tier2_ngsl_nawl_overlap+ngsl_rank_812+nawl_rank_162+grade_estimate_6,intermediate,intermediate,6.122,30.495,13.408,intermediate_seed,intermediate_6_to_8.csv
conception,6,6-8,intermediate_6_to_8,163,64,true,n,tier2_nawl_academic+nawl_rank_163+grade_estimate_6,intermediate,intermediate,6.122,30.495,13.408,intermediate_seed,intermediate_6_to_8.csv
tradition,7,6-8,intermediate_6_to_8,1338,64,false,n,tier1_ngsl_general+ngsl_rank_1338+grade_estimate_7,intermediate,intermediate,4.122,30.495,11.408,intermediate_seed,intermediate_6_to_8.csv
consideration,7,6-8,intermediate_6_to_8,1344,64,false,n,tier1_ngsl_general+ngsl_rank_1344+grade_estimate_7,intermediate,intermediate,4.122,30.495,12.908,intermediate_seed,intermediate_6_to_8.csv
ideology,6,6-8,intermediate_6_to_8,165,63,true,n,tier2_nawl_academic+nawl_rank_165+grade_estimate_6,intermediate,intermediate,6.118,30.491,13.404,intermediate_seed,intermediate_6_to_8.csv
quantitative,6,6-8,intermediate_6_to_8,167,63,true,adj,tier2_nawl_academic+nawl_rank_167+grade_estimate_6,intermediate,intermediate,6.118,30.491,14.904,intermediate_seed,intermediate_6_to_8.csv
instability,6,6-8,intermediate_6_to_8,169,63,true,n,tier2_nawl_academic+nawl_rank_169+grade_estimate_6,intermediate,intermediate,6.118,30.491,14.904,intermediate_seed,intermediate_6_to_8.csv
religious,7,6-8,intermediate_6_to_8,1356,63,false,adj,tier1_ngsl_general+ngsl_rank_1356+grade_estimate_7,intermediate,intermediate,4.118,30.491,11.404,intermediate_seed,intermediate_6_to_8.csv
specification,6,6-8,intermediate_6_to_8,171,62,true,n,tier2_nawl_academic+nawl_rank_171+grade_estimate_6,intermediate,intermediate,6.114,30.486,14.9,intermediate_seed,intermediate_6_to_8.csv
computation,6,6-8,intermediate_6_to_8,174,62,true,n,tier2_nawl_academic+nawl_rank_174+grade_estimate_6,intermediate,intermediate,6.114,30.486,14.9,intermediate_seed,intermediate_6_to_8.csv
collective,6,6-8,intermediate_6_to_8,181,61,true,adj,tier2_nawl_academic+nawl_rank_181+grade_estimate_6,intermediate,intermediate,6.111,30.481,13.396,intermediate_seed,intermediate_6_to_8.csv
objective,7,6-8,intermediate_6_to_8,1402,61,false,adj,tier1_ngsl_general+ngsl_rank_1402+grade_estimate_7,intermediate,intermediate,4.111,30.481,11.396,intermediate_seed,intermediate_6_to_8.csv
estimation,6,6-8,intermediate_6_to_8,184,60,true,n,tier2_nawl_academic+nawl_rank_184+grade_estimate_6,intermediate,intermediate,6.107,30.476,13.392,intermediate_seed,intermediate_6_to_8.csv
deviation,6,6-8,intermediate_6_to_8,186,60,true,n,tier2_nawl_academic+nawl_rank_186+grade_estimate_6,intermediate,intermediate,6.107,30.476,13.392,intermediate_seed,intermediate_6_to_8.csv
morphology,6,6-8,intermediate_6_to_8,190,60,true,n,tier2_nawl_academic+nawl_rank_190+grade_estimate_6,intermediate,intermediate,6.107,30.476,13.392,intermediate_seed,intermediate_6_to_8.csv
dangerous,7,6-8,intermediate_6_to_8,1419,60,false,adj,tier1_ngsl_general+ngsl_rank_1419+grade_estimate_7,intermediate,intermediate,4.107,30.476,11.392,intermediate_seed,intermediate_6_to_8.csv
separation,6,6-8,intermediate_6_to_8,194,59,true,n,tier2_nawl_academic+nawl_rank_194+grade_estimate_6,intermediate,intermediate,6.103,30.471,13.387,intermediate_seed,intermediate_6_to_8.csv
convergence,6,6-8,intermediate_6_to_8,195,59,true,n,tier2_nawl_academic+nawl_rank_195+grade_estimate_6,intermediate,intermediate,6.103,30.471,14.887,intermediate_seed,intermediate_6_to_8.csv
radiation,6,6-8,intermediate_6_to_8,199,59,true,n,tier2_nawl_academic+nawl_rank_199+grade_estimate_6,intermediate,intermediate,6.103,30.471,13.387,intermediate_seed,intermediate_6_to_8.csv
violence,7,6-8,intermediate_6_to_8,1436,59,false,n,tier1_ngsl_general+ngsl_rank_1436+grade_estimate_7,intermediate,intermediate,4.103,30.471,11.387,intermediate_seed,intermediate_6_to_8.csv
complement,6,6-8,intermediate_6_to_8,204,58,true,adj,tier2_nawl_academic+nawl_rank_204+grade_estimate_6,intermediate,intermediate,6.1,30.466,13.383,intermediate_seed,intermediate_6_to_8.csv
aggregate,6,6-8,intermediate_6_to_8,207,58,true,v,tier2_nawl_academic+nawl_rank_207+grade_estimate_6,intermediate,intermediate,6.1,30.466,13.383,intermediate_seed,intermediate_6_to_8.csv
equality,6,6-8,intermediate_6_to_8,208,58,true,n,tier2_nawl_academic+nawl_rank_208+grade_estimate_6,intermediate,intermediate,6.1,30.466,13.383,intermediate_seed,intermediate_6_to_8.csv
locate,7,6-8,intermediate_6_to_8,1450,58,false,v,tier1_ngsl_general+ngsl_rank_1450+grade_estimate_7,intermediate,intermediate,4.9,30.466,10.683,intermediate_seed,intermediate_6_to_8.csv
parameter,6,6-8,intermediate_6_to_8,4,273,true,n,tier2_nawl_academic+nawl_rank_4+grade_estimate_6,intermediate,intermediate,6.471,30.461,12.416,intermediate_seed,intermediate_6_to_8.csv
methodology,6,6-8,intermediate_6_to_8,212,57,true,n,tier2_nawl_academic+nawl_rank_212+grade_estimate_6,intermediate,intermediate,6.096,30.461,14.878,intermediate_seed,intermediate_6_to_8.csv
entity,6,6-8,intermediate_6_to_8,213,57,true,n,tier2_nawl_academic+nawl_rank_213+grade_estimate_6,intermediate,intermediate,6.896,30.461,12.678,intermediate_seed,intermediate_6_to_8.csv
psychology,6,6-8,intermediate_6_to_8,217,57,true,n,tier2_nawl_academic+nawl_rank_217+grade_estimate_6,intermediate,intermediate,6.096,30.461,13.378,intermediate_seed,intermediate_6_to_8.csv
arrangement,7,6-8,intermediate_6_to_8,1460,57,false,n,tier1_ngsl_general+ngsl_rank_1460+grade_estimate_7,intermediate,intermediate,4.096,30.461,12.878,intermediate_seed,intermediate_6_to_8.csv
corporate,7,6-8,intermediate_6_to_8,1465,57,false,v,tier1_ngsl_general+ngsl_rank_1465+grade_estimate_7,intermediate,intermediate,4.096,30.461,11.378,intermediate_seed,intermediate_6_to_8.csv
representative,7,6-8,intermediate_6_to_8,1471,57,false,adj,tier1_ngsl_general+ngsl_rank_1471+grade_estimate_7,intermediate,intermediate,4.096,30.461,12.878,intermediate_seed,intermediate_6_to_8.csv
capacity,7,6-8,intermediate_6_to_8,1472,57,false,n,tier1_ngsl_general+ngsl_rank_1472+grade_estimate_7,intermediate,intermediate,4.096,30.461,11.378,intermediate_seed,intermediate_6_to_8.csv
assessment,7,6-8,intermediate_6_to_8,1475,56,false,n,tier1_ngsl_general+ngsl_rank_1475+grade_estimate_7,intermediate,intermediate,4.092,30.456,11.374,intermediate_seed,intermediate_6_to_8.csv
regulation,7,6-8,intermediate_6_to_8,1481,56,false,n,tier1_ngsl_general+ngsl_rank_1481+grade_estimate_7,intermediate,intermediate,4.092,30.456,11.374,intermediate_seed,intermediate_6_to_8.csv
description,7,6-8,intermediate_6_to_8,1492,56,false,n,tier1_ngsl_general+ngsl_rank_1492+grade_estimate_7,intermediate,intermediate,4.092,30.456,12.874,intermediate_seed,intermediate_6_to_8.csv
variability,6,6-8,intermediate_6_to_8,222,55,true,n,tier2_nawl_academic+nawl_rank_222+grade_estimate_6,intermediate,intermediate,6.088,30.45,14.869,intermediate_seed,intermediate_6_to_8.csv
notation,6,6-8,intermediate_6_to_8,224,55,true,n,tier2_nawl_academic+nawl_rank_224+grade_estimate_6,intermediate,intermediate,6.088,30.45,13.369,intermediate_seed,intermediate_6_to_8.csv
migration,6,6-8,intermediate_6_to_8,226,55,true,n,tier2_nawl_academic+nawl_rank_226+grade_estimate_6,intermediate,intermediate,6.088,30.45,13.369,intermediate_seed,intermediate_6_to_8.csv
confidence,7,6-8,intermediate_6_to_8,1493,55,false,n,tier1_ngsl_general+ngsl_rank_1493+grade_estimate_7,intermediate,intermediate,4.088,30.45,11.369,intermediate_seed,intermediate_6_to_8.csv
perspective,7,6-8,intermediate_6_to_8,1496,55,false,adj,tier1_ngsl_general+ngsl_rank_1496+grade_estimate_7,intermediate,intermediate,4.088,30.45,12.869,intermediate_seed,intermediate_6_to_8.csv
leadership,7,6-8,intermediate_6_to_8,1506,55,false,n,tier1_ngsl_general+ngsl_rank_1506+grade_estimate_7,intermediate,intermediate,4.088,30.45,11.369,intermediate_seed,intermediate_6_to_8.csv
aspect,6,6-8,intermediate_6_to_8,5,262,true,n,tier2_nawl_academic+nawl_rank_5+grade_estimate_6,intermediate,intermediate,7.261,30.448,11.704,intermediate_seed,intermediate_6_to_8.csv
inclusion,6,6-8,intermediate_6_to_8,232,54,true,n,tier2_nawl_academic+nawl_rank_232+grade_estimate_6,intermediate,intermediate,6.084,30.445,13.364,intermediate_seed,intermediate_6_to_8.csv
commitment,7,6-8,intermediate_6_to_8,1507,54,false,n,tier1_ngsl_general+ngsl_rank_1507+grade_estimate_7,intermediate,intermediate,4.084,30.445,11.364,intermediate_seed,intermediate_6_to_8.csv
emission,6,6-8,intermediate_6_to_8,233,53,true,n,tier2_nawl_academic+nawl_rank_233+grade_estimate_6,intermediate,intermediate,6.08,30.439,13.36,intermediate_seed,intermediate_6_to_8.csv
inference,6,6-8,intermediate_6_to_8,234,53,true,n,tier2_nawl_academic+nawl_rank_234+grade_estimate_6,intermediate,intermediate,6.08,30.439,13.36,intermediate_seed,intermediate_6_to_8.csv
disturbance,6,6-8,intermediate_6_to_8,238,53,true,n,tier2_nawl_academic+nawl_rank_238+grade_estimate_6,intermediate,intermediate,6.08,30.439,14.86,intermediate_seed,intermediate_6_to_8.csv
investigate,7,6-8,intermediate_6_to_8,1533,53,false,v,tier1_ngsl_general+ngsl_rank_1533+grade_estimate_7,intermediate,intermediate,4.08,30.439,12.86,intermediate_seed,intermediate_6_to_8.csv
recommendation,7,6-8,intermediate_6_to_8,1534,53,false,n,tier1_ngsl_general+ngsl_rank_1534+grade_estimate_7,intermediate,intermediate,4.08,30.439,12.86,intermediate_seed,intermediate_6_to_8.csv
provision,7,6-8,intermediate_6_to_8,1540,53,false,n,tier1_ngsl_general+ngsl_rank_1540+grade_estimate_7,intermediate,intermediate,4.08,30.439,11.36,intermediate_seed,intermediate_6_to_8.csv
concentrate,7,6-8,intermediate_6_to_8,1541,53,false,v,tier1_ngsl_general+ngsl_rank_1541+grade_estimate_7,intermediate,intermediate,4.08,30.439,12.86,intermediate_seed,intermediate_6_to_8.csv
validity,6,6-8,intermediate_6_to_8,241,52,true,n,tier2_nawl_academic+nawl_rank_241+grade_estimate_6,intermediate,intermediate,6.075,30.434,13.355,intermediate_seed,intermediate_6_to_8.csv
archaeology,6,6-8,intermediate_6_to_8,243,52,true,n,tier2_nawl_academic+nawl_rank_243+grade_estimate_6,intermediate,intermediate,6.075,30.434,14.855,intermediate_seed,intermediate_6_to_8.csv
modification,6,6-8,intermediate_6_to_8,245,52,true,n,tier2_nawl_academic+nawl_rank_245+grade_estimate_6,intermediate,intermediate,6.075,30.434,14.855,intermediate_seed,intermediate_6_to_8.csv
partition,6,6-8,intermediate_6_to_8,246,52,true,n,tier2_nawl_academic+nawl_rank_246+grade_estimate_6,intermediate,intermediate,6.075,30.434,13.355,intermediate_seed,intermediate_6_to_8.csv
initiate,6,6-8,intermediate_6_to_8,247,52,true,v,tier2_nawl_academic+nawl_rank_247+grade_estimate_6,intermediate,intermediate,6.075,30.434,13.355,intermediate_seed,intermediate_6_to_8.csv
insist,7,6-8,intermediate_6_to_8,1551,52,false,n,tier1_ngsl_general+ngsl_rank_1551+grade_estimate_7,intermediate,intermediate,4.875,30.434,10.655,intermediate_seed,intermediate_6_to_8.csv
injection,7,6-8,intermediate_6_to_8,259,51,true,n,tier2_nawl_academic+nawl_rank_259+grade_estimate_7,intermediate,intermediate,6.071,30.428,13.35,intermediate_seed,intermediate_6_to_8.csv
judgment,7,6-8,intermediate_6_to_8,1573,51,false,n,tier1_ngsl_general+ngsl_rank_1573+grade_estimate_7,intermediate,intermediate,4.071,30.428,11.35,intermediate_seed,intermediate_6_to_8.csv
definition,7,6-8,intermediate_6_to_8,1577,51,false,n,tier1_ngsl_general+ngsl_rank_1577+grade_estimate_7,intermediate,intermediate,4.071,30.428,11.35,intermediate_seed,intermediate_6_to_8.csv
identity,7,6-8,intermediate_6_to_8,1587,51,false,n,tier1_ngsl_general+ngsl_rank_1587+grade_estimate_7,intermediate,intermediate,4.071,30.428,11.35,intermediate_seed,intermediate_6_to_8.csv
characterization,7,6-8,intermediate_6_to_8,269,50,true,n,tier2_nawl_academic+nawl_rank_269+grade_estimate_7,intermediate,intermediate,6.067,30.423,14.845,intermediate_seed,intermediate_6_to_8.csv
commission,7,6-8,intermediate_6_to_8,1593,50,false,n,tier1_ngsl_general+ngsl_rank_1593+grade_estimate_7,intermediate,intermediate,4.067,30.423,11.345,intermediate_seed,intermediate_6_to_8.csv
association,7,6-8,intermediate_6_to_8,1595,50,false,n,tier1_ngsl_general+ngsl_rank_1595+grade_estimate_7,intermediate,intermediate,4.067,30.423,12.845,intermediate_seed,intermediate_6_to_8.csv
instrument,7,6-8,intermediate_6_to_8,1596,50,false,n,tier1_ngsl_general+ngsl_rank_1596+grade_estimate_7,intermediate,intermediate,4.067,30.423,11.345,intermediate_seed,intermediate_6_to_8.csv
expectation,7,6-8,intermediate_6_to_8,1606,50,false,n,tier1_ngsl_general+ngsl_rank_1606+grade_estimate_7,intermediate,intermediate,4.067,30.423,12.845,intermediate_seed,intermediate_6_to_8.csv
